"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.CookieJacksonBenchmark.readMap","sample",1,800,709686.722560,392.803102,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.00","sample",1,1,704643.072000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.50","sample",1,1,708837.376000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.90","sample",1,1,714080.256000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.95","sample",1,1,716177.408000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.99","sample",1,1,719312.650240,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.999","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.9999","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p1.00","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString","sample",1,800,710089.113600,476.464745,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.00","sample",1,1,703594.496000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.50","sample",1,1,708837.376000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.90","sample",1,1,716177.408000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.95","sample",1,1,719323.136000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.99","sample",1,1,721420.288000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.999","sample",1,1,730857.472000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.9999","sample",1,1,730857.472000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p1.00","sample",1,1,730857.472000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap","sample",1,800,716873.400320,615.412222,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.00","sample",1,1,708837.376000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.50","sample",1,1,715128.832000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.90","sample",1,1,724566.016000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.95","sample",1,1,725614.592000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.99","sample",1,1,728760.320000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.999","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.9999","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p1.00","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString","sample",1,800,672921.026560,1093.327205,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.00","sample",1,1,656408.576000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.50","sample",1,1,678428.672000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.90","sample",1,1,682622.976000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.95","sample",1,1,683671.552000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.99","sample",1,1,686817.280000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.999","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.9999","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p1.00","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,8437485,13.004521,0.416167,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,9.648000,NaN,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,10.768000,NaN,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,11.712000,NaN,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,12.016000,NaN,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,14.960000,NaN,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,173.568000,NaN,"us/op",,1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,336.896000,NaN,"us/op",,1,false,8192,false,
