"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,523181,763.670184,0.456923,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,726.016000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,754.688000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,773.120000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,777.216000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,818.176000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,1802.240000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,3832.924570,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,9699.328000,NaN,"us/op",,1000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,506362,789.073928,0.430840,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,753.664000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,783.360000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,797.696000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,801.792000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,823.296000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,1853.440000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,4113.503437,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,12058.624000,NaN,"us/op",,1000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,524333,761.977406,0.560743,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,710.656000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,755.712000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,770.048000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,774.144000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,786.432000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,1906.688000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,6189.601587,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,9764.864000,NaN,"us/op",,1000,true,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,512377,779.790145,0.569407,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,719.872000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,775.168000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,788.480000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,793.600000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,805.888000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,1921.024000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,5874.063770,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,18448.384000,NaN,"us/op",,1000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,5475,76249.478149,86.669404,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,72089.600000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,76414.976000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,78381.056000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,78905.344000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,79953.920000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,90864.353280,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,121503.744000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,121503.744000,NaN,"us/op",,100000,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,5128,81466.129972,151.153283,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,74842.112000,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,82182.144000,NaN,"us/op",,100000,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,85196.800000,NaN,"us/op",,100000,false,64,true,
