"Benchmark","Percentile","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1247.218237,5.285111,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1203.765248,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1235.222528,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1289.538765,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1295.935078,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1331.502776,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1509.949440,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1509.949440,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1509.949440,NaN,"ms/op",,false,64,false,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1516.880527,26.482204,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1323.302912,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1447.034880,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1713.373184,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1715.470336,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1728.011305,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1801.453568,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1801.453568,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1801.453568,NaN,"ms/op",,false,64,true,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1361.513021,26.819115,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1094.713344,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1365.245952,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1541.406720,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1616.799334,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,2000.494264,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,2082.471936,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,2082.471936,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,2082.471936,NaN,"ms/op",,true,64,false,
"JacksonCsvParserBenchmark.parseCsv","avgt","sample",1,400,1381.200036,23.361776,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1142.947840,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1373.634560,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1522.112922,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1622.985933,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.99","sample",1,1,2087.148585,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.999","sample",1,1,2176.843776,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,2176.843776,NaN,"ms/op",,true,64,true,
"JacksonCsvParserBenchmark.parseCsv","p1.00","sample",1,1,2176.843776,NaN,"ms/op",,true,64,true,
"SfmCsvParserBenchmark.parseCsvCallback","avgt","sample",1,800,900.679598,0.996064,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.00","sample",1,1,884.998144,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.50","sample",1,1,898.629632,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.90","sample",1,1,914.358272,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.95","sample",1,1,918.552576,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.99","sample",1,1,922.736394,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.999","sample",1,1,940.572672,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.9999","sample",1,1,940.572672,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p1.00","sample",1,1,940.572672,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","avgt","sample",1,400,1370.011730,25.120396,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.00","sample",1,1,1105.199104,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.50","sample",1,1,1474.297856,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.90","sample",1,1,1503.448269,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.95","sample",1,1,1621.622784,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.99","sample",1,1,1631.584256,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.999","sample",1,1,1631.584256,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.9999","sample",1,1,1631.584256,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p1.00","sample",1,1,1631.584256,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","avgt","sample",1,799,806.970441,8.659065,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.00","sample",1,1,747.634688,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.50","sample",1,1,773.849088,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.90","sample",1,1,898.629632,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.95","sample",1,1,966.787072,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.99","sample",1,1,1098.907648,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.999","sample",1,1,1314.914304,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.9999","sample",1,1,1314.914304,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p1.00","sample",1,1,1314.914304,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","avgt","sample",1,711,952.524374,12.242302,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.00","sample",1,1,872.415232,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.50","sample",1,1,912.261120,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.90","sample",1,1,1043.123405,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.95","sample",1,1,1082.130432,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.99","sample",1,1,1367.510876,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.999","sample",1,1,1780.482048,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.9999","sample",1,1,1780.482048,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p1.00","sample",1,1,1780.482048,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","avgt","sample",1,800,940.431114,1.866967,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.00","sample",1,1,921.698304,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.50","sample",1,1,934.281216,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.90","sample",1,1,980.103987,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.95","sample",1,1,984.612864,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.99","sample",1,1,985.661440,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.999","sample",1,1,994.050048,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,994.050048,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,994.050048,NaN,"ms/op",4,false,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","avgt","sample",1,400,1373.335716,26.566511,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.00","sample",1,1,1195.376640,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.50","sample",1,1,1298.137088,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.90","sample",1,1,1606.418432,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.95","sample",1,1,1620.888781,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.99","sample",1,1,1629.487104,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.999","sample",1,1,1637.875712,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,1637.875712,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,1637.875712,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","avgt","sample",1,726,944.405896,16.484849,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.00","sample",1,1,785.383424,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.50","sample",1,1,917.504000,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.90","sample",1,1,1105.828250,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.95","sample",1,1,1219.074458,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.99","sample",1,1,1410.649293,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.999","sample",1,1,1551.892480,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,1551.892480,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,1551.892480,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","avgt","sample",1,524,1049.052262,14.175117,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.00","sample",1,1,919.601152,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.50","sample",1,1,1033.371648,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.90","sample",1,1,1170.210816,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.95","sample",1,1,1213.726720,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.99","sample",1,1,1373.634560,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.999","sample",1,1,1958.739968,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,1958.739968,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,1958.739968,NaN,"ms/op",4,true,64,true,false
"UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt","sample",1,800,795.680440,1.865774,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.00","sample",1,1,773.849088,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.50","sample",1,1,793.772032,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.90","sample",1,1,806.354944,NaN,"ms/op",,,,false,
