"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3491.294135,18.104300,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3647.639406,19.371439,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3303.926438,10.022970,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","avgt",1,100,3358.467894,14.804319,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1606.986039,27.041529,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1567.932437,13.689661,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1247.719552,7.284706,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1344.946618,6.106361,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,1236.246239,12.285579,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,1544.187277,11.148603,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,878.625225,3.176878,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.mapCsv","avgt",1,100,1040.124014,3.937796,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,855.524208,15.575296,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,1166.901353,24.147112,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,551.270232,4.312313,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.SesseltjonnaCsvParserBenchmark.parseCsv","avgt",1,100,692.362643,2.464538,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1506.024550,26.857662,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1465.935146,26.443508,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1147.179166,5.451850,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.mapCsvCallback","avgt",1,100,1205.503022,15.603714,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1154.000128,12.309061,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1218.679045,39.929697,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,730.667019,6.374501,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,816.850215,2.444098,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1193.215566,1.794994,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1217.468077,39.694720,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,779.085065,2.944493,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,835.551566,5.823544,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvRaw","avgt",1,100,783.297244,8.085126,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvRaw","avgt",1,100,944.261176,21.869825,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvRaw","avgt",1,100,528.262086,16.503182,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvRaw","avgt",1,100,588.877711,32.654521,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvSameArray","avgt",1,100,1123.739888,4.321018,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvSameArray","avgt",1,100,1170.160833,36.567388,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvSameArray","avgt",1,100,712.523489,2.142763,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvSameArray","avgt",1,100,786.121364,3.864796,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.mapCsv","avgt",1,100,2141.006807,6.786438,"ms/op",,-1,,,false,
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.mapCsv","avgt",1,100,2345.294551,6.519392,"ms/op",,-1,,,true,
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,100,845.152203,6.573613,"ms/op",,-1,,,false,
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,100,1047.958099,3.204768,"ms/op",,-1,,,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2564.005421,7.466838,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2826.773331,14.871830,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2203.455160,9.436638,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2415.918994,8.020337,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1265.207320,9.337140,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1488.093856,20.208631,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,890.061023,10.428138,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1103.529542,3.475830,"ms/op",,-1,true,8192,true,
