"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.CookieJacksonBenchmark.readMap","sample",1,800,687565.701120,345.489307,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.00","sample",1,1,683671.552000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.50","sample",1,1,686817.280000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.90","sample",1,1,689963.008000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.95","sample",1,1,694157.312000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.99","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.999","sample",1,1,714080.256000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p0.9999","sample",1,1,714080.256000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readMap:readMap·p1.00","sample",1,1,714080.256000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString","sample",1,800,687973.335040,344.023805,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.00","sample",1,1,682622.976000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.50","sample",1,1,687865.856000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.90","sample",1,1,693003.878400,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.95","sample",1,1,695205.888000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.99","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.999","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p0.9999","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieJacksonBenchmark.readString:readString·p1.00","sample",1,1,697303.040000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap","sample",1,800,719780.577280,1998.069149,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.00","sample",1,1,699400.192000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.50","sample",1,1,711983.104000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.90","sample",1,1,740294.656000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.95","sample",1,1,741343.232000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.99","sample",1,1,742391.808000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.999","sample",1,1,744488.960000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p0.9999","sample",1,1,744488.960000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readMap:readMap·p1.00","sample",1,1,744488.960000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString","sample",1,800,666505.052160,332.066287,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.00","sample",1,1,659554.304000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.50","sample",1,1,666894.336000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.90","sample",1,1,668991.488000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.95","sample",1,1,670040.064000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.99","sample",1,1,676310.548480,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.999","sample",1,1,686817.280000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p0.9999","sample",1,1,686817.280000,NaN,"us/op",,,,,,
"org.simpleflatmapper.CookieSfmBenchmark.readString:readString·p1.00","sample",1,1,686817.280000,NaN,"us/op",,,,,,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,12391977,8.728893,0.304744,"us/op",,1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,6.512000,NaN,"us/op",,1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,7.136000,NaN,"us/op",,1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,7.552000,NaN,"us/op",,1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,8.040000,NaN,"us/op",,1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,8.512000,NaN,"us/op",,1,false,64,false,
