"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1593.436117,30.251627,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1592.363488,16.538718,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1243.821348,3.856643,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,100,1342.454746,4.708179,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1040.367877,29.691662,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,1103.904377,38.612092,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,740.893298,10.896623,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt",1,100,812.725793,3.125659,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1127.370835,20.354452,"ms/op",4,-1,false,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,1140.077795,26.373455,"ms/op",4,-1,false,8192,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,759.303818,1.763482,"ms/op",4,-1,true,8192,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt",1,100,826.135993,5.736655,"ms/op",4,-1,true,8192,true,false
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,100,844.616923,6.912975,"ms/op",,-1,,,false,
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,100,1054.229231,4.629142,"ms/op",,-1,,,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1256.019644,7.047505,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1491.403588,20.825177,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,890.138383,11.383562,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1105.634831,4.208861,"ms/op",,-1,true,8192,true,
