"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.mapCsv","avgt",1,100,2345.342073,13.773432,"ms/op",,-1,,,true,
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,100,845.053816,6.436798,"ms/op",,-1,,,false,
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,100,1054.428534,4.265320,"ms/op",,-1,,,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2565.413512,7.526041,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2831.310194,15.958872,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2230.323917,41.010494,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.mapCsv","avgt",1,100,2399.728854,14.569486,"ms/op",,-1,true,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1252.151341,8.241381,"ms/op",,-1,false,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1499.605180,17.910208,"ms/op",,-1,false,8192,true,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,894.072649,10.680259,"ms/op",,-1,true,8192,false,
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,100,1108.793135,4.251085,"ms/op",,-1,true,8192,true,
