"Benchmark","Percentile","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"SfmCsvParserBenchmark.parseCsvCallback","p0.00","sample",1,1,1065.353216,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.50","sample",1,1,1374.683136,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.90","sample",1,1,1552.102195,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.95","sample",1,1,1562.378240,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.99","sample",1,1,1564.475392,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.999","sample",1,1,1574.961152,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.9999","sample",1,1,1574.961152,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","p1.00","sample",1,1,1574.961152,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvCallback","avgt","sample",1,795,809.550793,9.655511,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.00","sample",1,1,744.488960,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.50","sample",1,1,775.946240,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.90","sample",1,1,902.614221,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.95","sample",1,1,969.723085,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.99","sample",1,1,1141.018460,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.999","sample",1,1,1407.188992,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p0.9999","sample",1,1,1407.188992,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvCallback","p1.00","sample",1,1,1407.188992,NaN,"ms/op",4,true,64,false,false
